Equipment,Parameter,Range,Frequency,CMC (±),Comments,range_min,range_min_unit,range_max,range_max_unit,frequency_range_min,frequency_range_min_unit,frequency_range_max,frequency_range_max_unit,cmc_base,cmc_multiplier,cmc_mult_unit,cmc_uncertainty_unit
Thread Wires,,(4.5 to 96) TPI,,15 µin,"Supermicrometer,",4.5,TPI,96,TPI,,,,,15,0.0,,µin
Calipers,Digital,Up to 72 in,,(300 + 1.7L) µin,Gage blocks and ring gages,,,72,in,,,,,300.0,1.7,L,µin
Calipers,Dial & Vernier,Up to 72 in,,(600 + 1.9L) µin,Gage blocks and ring gages,,,72,in,,,,,600.0,1.9,L,µin
"Indicators, Dial & Digital (For Dial, Res. = 0.2 Least Grad.)",,Up to 1 in,,6.5 µin + 0.6R,Gage blocks,,,1,in,,,,,6.5,0.6,µin,R
"Indicators, Dial & Digital (For Dial, Res. = 0.2 Least Grad.)",,(1 to 4) in,,(3.3 + 3L) µin + 0.6R,Gage blocks,1,in,4,in,,,,,3.3,3.0,L,µin + 0.6R
Height Gages,,Up to 40 in,,(7.1 + 1.1L) µin,Gage blocks,,,40,in,,,,,7.1,1.1,L,µin
Plug / Pin Gages & Outside Cylindrical Diameter,,Up to 1 in,,(6.7 + 1.8L) µin,Laser scan micrometer,,,1,in,,,,,6.7,1.8,L,µin
Plug / Pin Gages & Outside Cylindrical Diameter,,(1 to 10) in,,(13 + 1.1L) µin,"P&W Supermicrometer, gage blocks",1,in,10,in,,,,,13.0,1.1,L,µin
Plain Rings & Inside Cylindrical Diameter,,(0.04 to 11) in,,(4.6 + 0.91D) µin,"Internal Supermicrometer, master gage blocks",0.04,in,11,in,,,,,4.6,0.91,D,µin
Straight Threaded Plug Gages,Pitch Diameter (TPI 4.5 to 96),Up to 6 in,,(76 + 6.0D) µin,3-wire method,,,6,in,,,,,76.0,6.0,D,µin
Straight Threaded Plug Gages,Major Diameter,Up to 5 in,,(24 + 1D) µin,"P&W Supermicrometer, gage blocks",,,5,in,,,,,24.0,1.0,D,µin
Tapered Threaded Plug Gages,Pitch Diameter,Up to 4 in,,92 µin,"3-wire method, tapered sine block",,,4,in,,,,,92,0.0,,µin
Tapered Threaded Plug Gages,Major Diameter,Up to 4.5 in,,22 µin,"P&W Supermicrometer, gage blocks",,,4.5,in,,,,,22,0.0,,µin
Adjustable Threaded Ring Gages,,(0.05 to 2) in diameter,,(84 + 10D) µin,Setting plugs,0.05,in diameter,2,in diameter,,,,,84.0,10.0,D,µin
Steel Rules,Length,Up to 72 in,,(590 + 1.5L) µin,Gage blocks,,,72,in,,,,,590.0,1.5,L,µin
Steel Rules,Graduations,----,,(670 + 16L) µin,Glass scale,----,,----,,,,,,670.0,16.0,L,µin
Surface Plates,Flatness,Up to 300 in diagonal,,(8.7 + 1.2L) µin,LDDM,,,300,in diagonal,,,,,8.7,1.2,L,µin
Surface Plates,Repeat Reading,----,,(6.8 + 0.017L) µin,Repeat reading gage,----,,----,,,,,,6.8,0.017,L,µin
Optical Comparators,Linearity,12 in travel,,(12 + 3.4L) µin,Glass scale,12,in travel,12,in travel,,,,,12.0,3.4,L,µin
Optical Comparators,Angle,±180º,,40 arc seconds,Glass scale,-180,º,180,º,,,,,40,0.0,,arc seconds
Optical Comparators,Magnification Accuracy,5X to 100X,,0.013 % of magnification,Glass scale,5,X,100,X,,,,,0.013,0.0,,% of magnification
Measuring Tapes,Length,Up to 330 ft,,(0.0073 +,Test frame,,,330,ft,,,,,(0.0073 +,,,
Measuring Tapes,Length,,,0.000 0069L) in,Test frame,,,,,,,,,0.0,0.0,,0069L) in
Measuring Tapes,Graduations,----,,0.0018 in,Glass scale,----,,----,,,,,,0.0018,0.0,,in
Wire Crimpers,Cylindrical Crimping Chamber,(0.011 to 0.500) in,,650 µin,Pin gages,0.011,in,0.500,in,,,,,650,0.0,,µin
Wire Crimpers,Shaped Crimping Chamber,Up to 1 in,,280 µin,Optical comparator,,,1,in,,,,,280,0.0,,µin
Wire Crimpers,Crimp Height,Up to 1 in,,190 µin,Crimp height micrometer,,,1,in,,,,,190,0.0,,µin
Air Gages,,(-0.0015 to +0.0015) in,,25 µin,Magnification test kit,-0.0015,in,0.0015,in,,,,,25,0.0,,µin
"Profilometers, Ra",,20 µin,,1.5 µin,Surface roughness masters,20,µin,20,µin,,,,,1.5,0.0,,µin
"Profilometers, Ra",,120 µin,,3.1 µin,Surface roughness masters,120,µin,120,µin,,,,,3.1,0.0,,µin
"Surface Roughness Standards, Ra",,(16 to 132) µin,,(1.3 + 0.017) µin,Comparison with surface roughness masters,16,µin,132,µin,,,,,1.3,0.017,,µin
Radius Standard,,(0.01 to 3) in,,(190 + 62L) µin,Optical comparator,0.01,in,3,in,,,,,190.0,62.0,L,µin
Bench Micrometer,Linearity,Up to 1 in,,(2.1 + 1.3L) µin,Gage blocks,,,1,in,,,,,2.1,1.3,L,µin
Bench Micrometer,Anvil Parallelism,---,,1.4 µin,Ball test,,,---,---,,,,,1.4,0.0,,µin
Bench Micrometer,Force Error,(2 to 40) ozf,,0.13 ozf,Load cell,2,ozf,40,ozf,,,,,0.13,0.0,,ozf
Bench Micrometer,ID Functionality,---,,11 µin,Setting rings,,,---,---,,,,,11,0.0,,µin
Coating Thickness Meter,,Up to 80 mils,,0.11 % rdg + 0.023 mils,Coating thickness standards,,,80,mils,,,,,0.11,0.023,% rdg,mils
Coating Thickness,,Up to 750 mils,,0.023 mils,Universal LMS,,,750,mils,,,,,0.023,0.0,,mils
Ultrasonic Thickness,,Up to 10 in (Ferrous),,80 µin,Steel gage blocks,,,10,in (Ferrous),,,,,80,0.0,,µin
Meter,,Up to 0.65 in (Alum),,100 µin,Aluminum thickness Standards,,,0.65,in (Alum),,,,,100,0.0,,µin
"Length, 1D",,Up to 10 in,,(27 + 1.2L) µin,Supermicrometer,,,10,in,,,,,27.0,1.2,L,µin
"Length, 1D",,Up to 56 in,,(590 + 2.1L) µin,CMM,,,56,in,,,,,590.0,2.1,L,µin
"Length, 1D",,Up to 8.5 in,,(410 + 96L) µin,Optical comparator,,,8.5,in,,,,,410.0,96.0,L,µin
"Length, 1D",,Up to 60 ft,,(83 + 1.6L) µin,Laser,,,60,ft,,,,,83.0,1.6,L,µin
"Length, 2D",,Up to 8′′ X 3′′,,(370 + 120L) µin,Optical comparator,,,8,′′ X 3′′,,,,,370.0,120.0,L,µin
"Length, 3D",,Up to 47′′ X 32′′ X 24′′,,700 µin,CMM,,,47,′′ X 32′′ X 24′′,,,,,700,0.0,,µin
DC Voltage,Measure,Up to 100 mV,,4.4 µV/V + 0.62 µV,HP 3458A,,,100,mV,,,,,4.4,0.62,µV/V,µV
DC Voltage,Measure,(0.1 to 1) V,,4.7 µV/V + 0.5 µV,HP 3458A,0.1,V,1,V,,,,,4.7,0.5,µV/V,µV
DC Voltage,Measure,(1 to 10) V,,4.6 µV/V + 1.1 µV,HP 3458A,1,V,10,V,,,,,4.6,1.1,µV/V,µV
DC Voltage,Measure,(10 to 100) V,,6.9 µV/V + 39 µV,HP 3458A,10,V,100,V,,,,,6.9,39.0,µV/V,µV
DC Voltage,Measure,(100 to 1000) V,,7.2 µV/V + 120 µV,HP 3458A,100,V,1000,V,,,,,7.2,120.0,µV/V,µV
DC Voltage,Generate,Up to 100 mV,,4.4 µV/V + 0.62 µV,Fluke 5502A monitored by HP3458A,,,100,mV,,,,,4.4,0.62,µV/V,µV
DC Voltage,Generate,(0.1 to 1) V,,4.7 µV/V + 0.5 µV,Fluke 5502A monitored by HP3458A,0.1,V,1,V,,,,,4.7,0.5,µV/V,µV
DC Voltage,Generate,(1 to 10) V,,4.6 µV/V + 1.1 µV,Fluke 5502A monitored by HP3458A,1,V,10,V,,,,,4.6,1.1,µV/V,µV
DC Voltage,Generate,(10 to 100) V,,6.9 µV/V + 39 µV,Fluke 5502A monitored by HP3458A,10,V,100,V,,,,,6.9,39.0,µV/V,µV
DC Voltage,Generate,(100 to 1000) V,,7.2 µV/V + 120 µV,Fluke 5502A monitored by HP3458A,100,V,1000,V,,,,,7.2,120.0,µV/V,µV
DC Current,Measure,Up to 100 nA,,34 µA/A + 0.047 nA,HP 3458A,,,100,nA,,,,,34.0,0.047,µA/A,nA
DC Current,Measure,100 nA to 1 µA,,23 µA/A + 0.048 nA,HP 3458A,100,nA,1,µA,,,,,23.0,0.048,µA/A,nA
DC Current,Measure,(1 to 10) µA,,23 µA/A + 0.12 nA,HP 3458A,1,µA,10,µA,,,,,23.0,0.12,µA/A,nA
DC Current,Measure,(10 to 100) µA,,23 µA/A + 0.11 nA,HP 3458A,10,µA,100,µA,,,,,23.0,0.11,µA/A,nA
DC Current,Measure,(0.1 to 1) mA,,23 µA/A + 5.9 nA,HP 3458A,0.1,mA,1,mA,,,,,23.0,5.9,µA/A,nA
DC Current,Measure,(1 to 10) mA,,23 µA/A + 59 nA,HP 3458A,1,mA,10,mA,,,,,23.0,59.0,µA/A,nA
DC Current,Measure,(10 to 100) mA,,40 µA/A + 0.63 µA,HP 3458A,10,mA,100,mA,,,,,40.0,0.63,µA/A,µA
DC Current,Measure,100 mA to 1 A,,130 µA/A + 12 µA,HP 3458A,100,mA,1,A,,,,,130.0,12.0,µA/A,µA
DC Current,Measure,(1 to 20) A,,4.7 µA/A + 110 µA,EL 7520 current shunt,1,A,20,A,,,,,4.7,110.0,µA/A,µA
DC Current,Generate,Up to 100 nA,,34 µA/A + 0.047 nA,Fluke 5502A monitored by HP3458A,,,100,nA,,,,,34.0,0.047,µA/A,nA
DC Current,Generate,100 nA to 1 µA,,23 µA/A + 0.048 nA,Fluke 5502A monitored by HP3458A,100,nA,1,µA,,,,,23.0,0.048,µA/A,nA
DC Current,Generate,(1 to 10) µA,,23 µA/A + 0.12 nA,Fluke 5502A monitored by HP3458A,1,µA,10,µA,,,,,23.0,0.12,µA/A,nA
DC Current,Generate,(10 to 100) µA,,23 µA/A + 0.11 nA,Fluke 5502A monitored by HP3458A,10,µA,100,µA,,,,,23.0,0.11,µA/A,nA
DC Current,Generate,(0.1 to 1) mA,,23 µA/A + 5.9 nA,Fluke 5502A monitored by HP3458A,0.1,mA,1,mA,,,,,23.0,5.9,µA/A,nA
DC Current,Generate,(1 to 10) mA,,23 µA/A + 59 nA,Fluke 5502A monitored by HP3458A,1,mA,10,mA,,,,,23.0,59.0,µA/A,nA
DC Current,Generate,(10 to 100) mA,,40 µA/A + 0.63 µA,Fluke 5502A monitored by HP3458A,10,mA,100,mA,,,,,40.0,0.63,µA/A,µA
DC Current,Generate,100 mA to 1 A,,130 µA/A + 12 µA,Fluke 5502A monitored by HP3458A,100,mA,1,A,,,,,130.0,12.0,µA/A,µA
DC Current,Generate,(1 to 20) A,,4.7 µA/A + 110 µA,With EL 7520 current shunt,1,A,20,A,,,,,4.7,110.0,µA/A,µA
DC Current,Generate,(11 to 30) A,,0.2 % rdg + 1.6 mA,"Fluke 5502A, 10 turn coil",11,A,30,A,,,,,0.2,1.6,% rdg,mA
DC Current,Generate,(30 to 110) A,,0.21 % rdg + 3.9 mA,"Fluke 5502A, 10 turn coil",30,A,110,A,,,,,0.21,3.9,% rdg,mA
DC Current,Generate,(110 to 205) A,,0.23 % rdg + 6.4 mA,"Fluke 5502A, 10 turn coil",110,A,205,A,,,,,0.23,6.4,% rdg,mA
DC Current,Generate,(55 to 150) A,,0.2 % rdg + 7.7 mA,"Fluke 5502A, 50 turn coil",55,A,150,A,,,,,0.2,7.7,% rdg,mA
DC Current,Generate,(150 to 550) A,,0.22 % rdg + 19 mA,"Fluke 5502A, 50 turn coil",150,A,550,A,,,,,0.22,19.0,% rdg,mA
DC Current,Generate,(525 to 1025) A,,0.23 % rdg + 32 mA,"Fluke 5502A, 50 turn coil",525,A,1025,A,,,,,0.23,32.0,% rdg,mA
Resistance,Generate & Measure,(0 to 1) Ω,,81 µΩ/Ω + 2.7 µΩ,"HP34420A, HP3458A",0,Ω,1,Ω,,,,,81.0,2.7,µΩ/Ω,µΩ
Resistance,Generate & Measure,(1 to 10) Ω,,17 µΩ/Ω + 62 µΩ,"HP34420A, HP3458A",1,Ω,10,Ω,,,,,17.0,62.0,µΩ/Ω,µΩ
Resistance,Generate & Measure,(10 to 100) Ω,,14 µΩ/Ω + 0.58 mΩ,"HP34420A, HP3458A",10,Ω,100,Ω,,,,,14.0,0.58,µΩ/Ω,mΩ
Resistance,Generate & Measure,100 Ω to 1 kΩ,,12 µΩ/Ω + 0.59 mΩ,"HP34420A, HP3458A",100,Ω,1,kΩ,,,,,12.0,0.59,µΩ/Ω,mΩ
Resistance,Generate & Measure,(1 to 10) kΩ,,12 µΩ/Ω + 5.9 mΩ,"HP34420A, HP3458A",1,kΩ,10,kΩ,,,,,12.0,5.9,µΩ/Ω,mΩ
Resistance,Generate & Measure,(10 to 100) kΩ,,12 µΩ/Ω + 58 mΩ,"HP34420A, HP3458A",10,kΩ,100,kΩ,,,,,12.0,58.0,µΩ/Ω,mΩ
Resistance,Generate & Measure,100 kΩ to 1 MΩ,,17 µΩ/Ω + 2.8 Ω,"HP34420A, HP3458A",100,kΩ,1,MΩ,,,,,17.0,2.8,µΩ/Ω,Ω
Resistance,Generate & Measure,(1 to 10) MΩ,,58 µΩ/Ω + 120 Ω,"HP34420A, HP3458A",1,MΩ,10,MΩ,,,,,58.0,120.0,µΩ/Ω,Ω
Resistance,Generate & Measure,(10 to 100) MΩ,,0.058 % rdg + 1.2 kΩ,"HP34420A, HP3458A",10,MΩ,100,MΩ,,,,,0.058,1.2,% rdg,kΩ
Resistance,Generate & Measure,100 MΩ to 1 GΩ,,0.58 % rdg + 12 kΩ,"HP34420A, HP3458A",100,MΩ,1,GΩ,,,,,0.58,12.0,% rdg,kΩ
Capacitance,Generate,(0.22 to 3.3) nF,,0.58 % rdg + 12 pF,Fluke 5502A,0.22,nF,3.3,nF,,,,,0.58,12.0,% rdg,pF
Capacitance,Generate,(3.3 to 11) nF,,0.29 % rdg + 12 pF,Fluke 5502A,3.3,nF,11,nF,,,,,0.29,12.0,% rdg,pF
Capacitance,Generate,(11 to 33) nF,,0.29 % rdg + 120 pF,Fluke 5502A,11,nF,33,nF,,,,,0.29,120.0,% rdg,pF
Capacitance,Generate,(33 to 110) nF,,0.29 % rdg + 120 pF,Fluke 5502A,33,nF,110,nF,,,,,0.29,120.0,% rdg,pF
Capacitance,Generate,(110 to 330) nF,,0.29 % rdg + 350 pF,Fluke 5502A,110,nF,330,nF,,,,,0.29,350.0,% rdg,pF
Capacitance,Generate,(0.33 to 1.1) µF,,0.29 % rdg + 1.2 nF,Fluke 5502A,0.33,µF,1.1,µF,,,,,0.29,1.2,% rdg,nF
Capacitance,Generate,(1.1 to 3.3) µF,,0.29 % rdg + 3.5 nF,Fluke 5502A,1.1,µF,3.3,µF,,,,,0.29,3.5,% rdg,nF
Capacitance,Generate,(3.3 to 11) µF,,0.29 % rdg + 12 nF,Fluke 5502A,3.3,µF,11,µF,,,,,0.29,12.0,% rdg,nF
Capacitance,Generate,(11 to 33) µF,,0.46 % rdg + 36 nF,Fluke 5502A,11,µF,33,µF,,,,,0.46,36.0,% rdg,nF
Capacitance,Generate,(33 to 110) µF,,0.52 % rdg + 120 nF,Fluke 5502A,33,µF,110,µF,,,,,0.52,120.0,% rdg,nF
Capacitance,Generate,(110 to 330) µF,,0.52 % rdg + 350 nF,Fluke 5502A,110,µF,330,µF,,,,,0.52,350.0,% rdg,nF
Capacitance,Generate,(0.33 to 1.1) mF,,0.52 % rdg + 1.2 µF,Fluke 5502A,0.33,mF,1.1,mF,,,,,0.52,1.2,% rdg,µF
Capacitance,Generate,(1.1 to 3.3) mF,,0.52 % rdg + 3.5 µF,Fluke 5502A,1.1,mF,3.3,mF,,,,,0.52,3.5,% rdg,µF
Capacitance,Generate,(3.3 to 11) mF,,0.52 % rdg + 13 µF,Fluke 5502A,3.3,mF,11,mF,,,,,0.52,13.0,% rdg,µF
Capacitance,Generate,(11 to 33) mF,,0.87 % rdg + 35 µF,Fluke 5502A,11,mF,33,mF,,,,,0.87,35.0,% rdg,µF
Capacitance,Generate,(33 to 110) mF,,1.3 % rdg + 120 µF,Fluke 5502A,33,mF,110,mF,,,,,1.3,120.0,% rdg,µF
Electrical Calibration of Thermocouple Indicators & Simulators,Type E,(-454 to 300) °F,,0.17 °F,Fluke 5502A or HP,-454,°F,300,°F,,,,,0.17,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type E,(300 to 1100) °F,,0.11 °F,"3245A, monitored by HP 3458A",300,°F,1100,°F,,,,,0.11,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type E,(1100 to 1832) °F,,0.11 °F,"3245A, monitored by HP 3458A",1100,°F,1832,°F,,,,,0.11,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type J,(-346 to -120) °F,,0.28 °F,"3245A, monitored by HP 3458A",-346,°F,-120,°F,,,,,0.28,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type J,(-120 to 500) °F,,0.17 °F,"3245A, monitored by HP 3458A",-120,°F,500,°F,,,,,0.17,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type J,(500 to 1350) °F,,0.13 °F,"3245A, monitored by HP 3458A",500,°F,1350,°F,,,,,0.13,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type J,(1350 to 2192) °F,,0.13 °F,"3245A, monitored by HP 3458A",1350,°F,2192,°F,,,,,0.13,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type K,(-454 to -400) °F,,5.4 °F,"3245A, monitored by HP 3458A",-454,°F,-400,°F,,,,,5.4,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type K,(-400 to -120) °F,,0.79 °F,"3245A, monitored by HP 3458A",-400,°F,-120,°F,,,,,0.79,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type K,(-120 to 500) °F,,0.22 °F,"3245A, monitored by HP 3458A",-120,°F,500,°F,,,,,0.22,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type K,(500 to 1500) °F,,0.18 °F,"3245A, monitored by HP 3458A",500,°F,1500,°F,,,,,0.18,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type K,(1500 to 2500) °F,,0.20 °F,"3245A, monitored by HP 3458A",1500,°F,2500,°F,,,,,0.2,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(-400 to -300) °F,,1.7 °F,Fluke 5502A or HP,-400,°F,-300,°F,,,,,1.7,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(-300 to -150) °F,,0.54 °F,"3245A, monitored by HP 3458A",-300,°F,-150,°F,,,,,0.54,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(-150 to -50) °F,,0.35 °F,"3245A, monitored by HP 3458A",-150,°F,-50,°F,,,,,0.35,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(-50 to 700) °F,,0.29 °F,"3245A, monitored by HP 3458A",-50,°F,700,°F,,,,,0.29,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(700 to 1500) °F,,0.21 °F,"3245A, monitored by HP 3458A",700,°F,1500,°F,,,,,0.21,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type N,(1500 to 2372) °F,,0.22 °F,"3245A, monitored by HP 3458A",1500,°F,2372,°F,,,,,0.22,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type R,(-58 to 32) °F,,0.65 °F,"3245A, monitored by HP 3458A",-58,°F,32,°F,,,,,0.65,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type R,(32 to 400) °F,,0.38 °F,"3245A, monitored by HP 3458A",32,°F,400,°F,,,,,0.38,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type R,(400 to 1100) °F,,0.27 °F,"3245A, monitored by HP 3458A",400,°F,1100,°F,,,,,0.27,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type R,(1100 to 2200) °F,,0.24 °F,"3245A, monitored by HP 3458A",1100,°F,2200,°F,,,,,0.24,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type S,(2200 to 3214) °F,,0.24 °F,"3245A, monitored by HP 3458A",2200,°F,3214,°F,,,,,0.24,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type S,(-58 to 32) °F,,0.51 °F,"3245A, monitored by HP 3458A",-58,°F,32,°F,,,,,0.51,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type S,(32 to 400) °F,,0.33 °F,"3245A, monitored by HP 3458A",32,°F,400,°F,,,,,0.33,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type S,(400 to 1100) °F,,0.27 °F,"3245A, monitored by HP 3458A",400,°F,1100,°F,,,,,0.27,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(1100 to 2200) °F,,0.24 °F,"3245A, monitored by HP 3458A",1100,°F,2200,°F,,,,,0.24,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(2200 to 3214) °F,,0.24 °F,"3245A, monitored by HP 3458A",2200,°F,3214,°F,,,,,0.24,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(-400 to -300) °F,,0.69 °F,"3245A, monitored by HP 3458A",-400,°F,-300,°F,,,,,0.69,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(-300 to 120) °F,,0.34 °F,"3245A, monitored by HP 3458A",-300,°F,120,°F,,,,,0.34,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(-120 to 200) °F,,0.23 °F,"3245A, monitored by HP 3458A",-120,°F,200,°F,,,,,0.23,0.0,,°F
Electrical Calibration of Thermocouple Indicators & Simulators,Type T,(200 to 752) °F,,0.16 °F,"3245A, monitored by HP 3458A",200,°F,752,°F,,,,,0.16,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 100 Ω",(-320 to 32) °F,,0.013 °F,HP 3458A,-320,°F,32,°F,,,,,0.013,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 100 Ω",(32 to 400) °F,,0.016 °F,HP 3458A,32,°F,400,°F,,,,,0.016,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 100 Ω",(400 to 800) °F,,0.02 °F,HP 3458A,400,°F,800,°F,,,,,0.02,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 100 Ω",(800 to 1200) °F,,0.027 °F,HP 3458A,800,°F,1200,°F,,,,,0.027,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 100 Ω",(1200 to 1562) °F,,0.035 °F,HP 3458A,1200,°F,1562,°F,,,,,0.035,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 1000 Ω",(-320 to 32) °F,,0.009 °F,HP 3458A,-320,°F,32,°F,,,,,0.009,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 1000 Ω",(32 to 400) °F,,0.016 °F,HP 3458A,32,°F,400,°F,,,,,0.016,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 1000 Ω",(400 to 800) °F,,0.020 °F,HP 3458A,400,°F,800,°F,,,,,0.02,0.0,,°F
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 1000 Ω",(800 to 1200) °F,,0.027 °F,HP 3458A,800,°F,1200,°F,,,,,0.027,0.0,,°F
